suburb,lat,lon
PUNCHBOWL,-33.925686,151.054635
ROSELANDS,-33.933167,151.073197
BASS HILL,-33.900608,150.992888
GEORGES HALL,-33.912851,150.982469
YAGOONA,-33.907725,151.026108
YAGOONA WEST,-33.918726,151.037007
BANKSTOWN,-33.919539,151.034909
BANKSTOWN AERODROME,-33.920032,150.995041
BANKSTOWN NORTH,-33.904622,151.039298
BANKSTOWN SQUARE,-33.916017,151.038538
CONDELL PARK,-33.922034,151.011619
MANAHAN,-33.916293,151.005545
DULWICH HILL,-33.904689,151.138774
MARRICKVILLE,-33.910923,151.157187
MARRICKVILLE METRO,-33.906781,151.171858
MARRICKVILLE SOUTH,-33.915178,151.151568
ARNCLIFFE,-33.936592,151.146805
TURRELLA,-33.929963,151.140643
WOLLI CREEK,-33.930744,151.155272
CLEMTON PARK,-33.925357,151.103282
EARLWOOD,-33.92651,151.12648
BARDWELL PARK,-33.93207,151.125594
BARDWELL VALLEY,-33.935083,151.134686
BEXLEY,-33.949135,151.12721
BEXLEY NORTH,-33.938306,151.114186
BEXLEY SOUTH,-33.959548,151.117388
KINGSGROVE,-33.939481,151.098941
BEVERLY HILLS,-33.954218,151.076364
NARWEE,-33.948609,151.069628
LUGARNO,-33.982956,151.046942
PEAKHURST,-33.959715,151.062187
PEAKHURST HEIGHTS,-33.968127,151.057596
RIVERWOOD,-33.949859,151.052469
PADSTOW,-33.953915,151.038163
PADSTOW HEIGHTS,-33.971073,151.030955
REVESBY,-33.951507,151.017247
REVESBY HEIGHTS,-33.968802,151.015063
REVESBY NORTH,-33.943582,151.007296
EAST HILLS,-33.963359,150.986695
PANANIA,-33.95613,150.998047
PICNIC POINT,-33.979303,151.000056
MILPERRA,-33.937834,150.989263
BANKSIA,-33.945237,151.140161
BRIGHTON-LE-SANDS,-33.960538,151.155362
KYEEMAGH,-33.951452,151.159943
ROCKDALE,-33.952747,151.137624
BEVERLEY PARK,-33.975135,151.131345
KOGARAH,-33.963107,151.133462
KOGARAH BAY,-33.979117,151.123296
MONTEREY,-33.973068,151.150983
RAMSGATE,-33.984683,151.139847
RAMSGATE BEACH,-33.981114,151.1483
ALLAWAH,-33.970018,151.114517
CARLTON,-33.968523,151.124528
DOLLS POINT,-33.993495,151.146801
SANDRINGHAM,-33.998763,151.139252
SANS SOUCI,-33.990614,151.133074
HURSTVILLE,-33.965923,151.101184
HURSTVILLE GROVE,-33.980653,151.091136
HURSTVILLE WESTFIELD,-33.965517,151.104903
BLAKEHURST,-33.988743,151.112314
CARSS PARK,-33.986556,151.119041
CONNELLS POINT,-33.991871,151.089495
KYLE BAY,-33.991238,151.098301
