city,code,Families,for all families,lon,for families with children,Average children per family,lat
Kurraba Point,12217,420,0.4,149.4235,1.6,None,-36.3901
North Gosford,12991,941,0.7,151.348821,1.7,None,-33.41684
Wee Waa,14211,472,0.8,149.444421,2,None,-30.224868
Lake Illawarra,12250,830,0.6,150.85695,1.7,None,-34.546473
San Remo (NSW),13470,1176,0.9,151.51616,2,None,-33.209738
Berrima,10320,193,0.6,150.332394,1.8,None,-34.504395
Mandurama,12467,95,0.5,149.075273,1.8,None,-33.648855
Elermore Vale,11394,1539,0.7,151.675532,1.8,None,-32.916279
Illawong,11974,2126,1.1,151.042591,1.9,None,-33.998018
Maryvale (NSW),12517,49,0.8,148.899155,2.1,None,-32.464179
Parklea,13153,664,1.3,150.923807,1.9,None,-33.728123
Swansea Heads,13712,172,0.9,151.657053,1.7,None,-33.09521
Arrawarra Headland,10089,162,0.6,153.202738,1.7,None,-30.059771
Tintenbar,13878,215,0.8,153.513163,1.9,None,-28.79659
Tucabia,13945,108,0.5,153.107275,1.6,None,-29.669036
Cartwrights Hill,10839,53,0.9,147.389575,2,None,-35.069754
Gleniffer,11668,115,0.5,152.901504,1.6,None,-30.386799
Glenwood (NSW),11682,4358,1.3,150.922732,1.9,None,-33.737863
Mylestom,12875,104,0.4,153.042817,1.5,None,-30.464762
Canobolas,10793,142,0.7,149.047339,1.7,None,-33.298346
Johns River,12037,69,0.5,152.695147,1.9,None,-31.733492
Wallarobba,14111,56,0.6,151.697483,1.7,None,-32.497237
The Entrance,13818,955,0.4,151.511249,1.7,None,-33.326254
Woodpark,14390,397,1.3,150.961859,2.1,None,-33.84063
Whittingham,14279,112,0.7,151.201067,1.7,None,-32.604494
Rushcutters Bay,13444,478,0.1,151.228614,1.3,None,-33.87624
Stonehenge (NSW),13665,36,0.7,151.7249,2,None,-29.8299
Bohena Creek,10444,47,0.9,149.66193,2,None,-30.439473
Roselands,13409,2968,1.1,151.073197,2,None,-33.933167
Myocum,12877,252,0.5,153.503992,1.6,None,-28.576877
Girraween (NSW),11636,1442,1,150.947276,1.8,None,-33.799843
Lightning Ridge,12320,511,0.5,147.979236,1.9,None,-29.425724
Pheasants Nest,13191,181,1,150.635599,2,None,-34.255973
Bowna,10534,31,0.5,147.130856,1.9,None,-35.964984
Upsalls Creek,14049,31,0.4,152.659543,1.3,None,-31.633347
Yamba (NSW),14458,1700,0.4,153.361445,1.7,None,-29.437064
Pitt Town,13226,852,1.1,150.841424,1.9,None,-33.596291
Constitution Hill,11014,1077,1,150.975,1.9,None,-33.793
Cobargo,10951,210,0.6,149.887772,1.9,None,-36.38761
Lakesland,12258,116,1.1,150.526834,2,None,-34.18087
Bellingen,10273,991,0.8,152.897966,1.9,None,-30.446069
Wilcannia,14290,155,0.8,143.377976,1.8,None,-31.558559
Martins Creek,12511,105,1,151.612337,1.8,None,-32.555529
Repton,13352,182,0.5,153.022416,1.6,None,-30.438888
Nambucca Heads,12887,1628,0.4,153.002886,1.8,None,-30.642442
Bawley Point,10235,200,0.5,150.393202,1.6,None,-35.522387
Gulargambone,11792,138,0.6,148.471189,1.9,None,-31.329692
Darlinghurst,11212,2156,0.1,151.21956,1.4,None,-33.879825
Marulan,12513,323,0.7,150.03039,2,None,-34.76026
Kulnura,12206,176,0.8,151.222101,1.9,None,-33.225924
Mullaway,12822,159,0.8,153.200245,2,None,-30.077053
Caddens,10743,306,1,150.7327,2,None,-33.771
New Lambton,12942,2665,0.7,151.690553,1.8,None,-32.932574
Fernmount,11509,106,0.5,152.959265,1.6,None,-30.468067
Maroota,12500,155,0.9,150.948575,2,None,-33.52308
Waterfall,14182,146,0.9,150.994957,1.7,None,-34.1352
Lilyfield,12325,1887,0.7,151.165788,1.7,None,-33.872991
Maimuru,12444,34,0.8,148.235113,2.1,None,-34.252818
Glenfield Park,11665,1428,0.8,147.334699,1.9,None,-35.13891
Kilaben Bay,12125,427,0.8,151.587294,1.8,None,-33.024534
Winton (NSW),14336,59,0.6,150.763349,1.7,None,-31.079338
Windsor Downs,14326,336,1.1,150.803079,2,None,-33.667695
Yellow Rock (Shellharbour - NSW),14503,52,1.2,150.7374,2.3,None,-34.6017
Ashford (NSW),10099,165,0.5,151.096081,1.7,None,-29.321245
Jeremadra,12012,54,0.7,150.136599,1.6,None,-35.809125
Wakefield,14088,38,0.7,151.560504,1.6,None,-32.956584
Narwee,12912,1488,0.8,151.069628,1.8,None,-33.948609
Wakeley,14089,1299,1.2,150.90888,2,None,-33.873966
Warrimoo,14174,693,0.9,150.604162,1.9,None,-33.722958
Bateau Bay,10227,3238,0.8,151.479104,1.8,None,-33.381213
Terara,13795,64,0.3,150.627436,1.4,None,-34.865447
Bexley,10334,4951,1,151.117388,1.9,None,-33.959548
Birrong,10379,796,1.1,151.022398,2,None,-33.89022
Robertson (NSW),13374,513,0.8,150.596418,2,None,-34.589237
Garden Suburb,11587,538,0.9,151.683365,1.8,None,-32.948355
Gowrie (Singleton - NSW),11729,96,1.1,153.2775,1.9,None,-28.1853
Gloucester,11685,808,0.6,151.625369,1.9,None,-32.049433
Caragabal,10806,48,0.7,147.739256,1.8,None,-33.843829
Connells Point,11013,799,1,151.089495,1.9,None,-33.991871
Lane Cove North,12267,3072,0.6,151.170912,1.6,None,-33.807556
Bundabah,10668,29,0.4,152.074063,1.3,None,-32.662213
Denman,11241,477,0.8,150.686422,2,None,-32.389403
Berkeley Vale,10304,2259,0.9,151.43163,1.8,None,-33.341788
Sun Valley (NSW),13691,64,0.8,150.592445,1.7,None,-33.712081
Fullerton Cove,11575,186,0.4,151.837968,1.6,None,-32.841049
Lower Southgate,12413,32,0.6,153.076817,1.6,None,-29.556531
Long Point (Campbelltown - NSW),12381,55,1.1,150.8964,2,None,-34.0115
Hanwood,11850,317,0.9,146.041304,2,None,-34.329292
Bilgola Plateau,10351,1026,1,151.3159,1.9,None,-33.6451
Warialda,14149,418,0.6,150.536881,1.8,None,-29.583725
Greenridge,11768,32,1.2,153.120103,2.1,None,-28.896232
Sydney,13715,3051,0.2,151.191884,1.3,None,-33.871209
Mallabula,12455,255,0.7,152.011748,1.9,None,-32.72898
Burrundulla,10717,35,0.8,149.639181,1.9,None,-32.623433
Bellawongarah,10267,35,0.5,150.626431,1.3,None,-34.763894
Pimlico (NSW),13207,79,0.6,153.494219,1.7,None,-28.889412
Ermington,11435,2871,1,151.054495,1.8,None,-33.814144
Tennyson Point,13790,334,0.9,151.117286,1.9,None,-33.831448
One Mile (NSW),13085,100,0.8,152.114949,2.2,None,-32.770639
South Grafton,13582,1570,0.7,152.934605,1.9,None,-29.703242
Kemps Creek,12094,551,1.2,150.790485,2.2,None,-33.88013
Ben Lomond (NSW),10286,46,0.4,151.658,1.6,None,-30.017361
Ettalong Beach,11445,1278,0.4,151.335289,1.6,None,-33.513696
Muscle Creek,12867,83,1.1,150.997754,1.8,None,-32.270449
Llangothlin,12364,35,0.7,151.686706,1.7,None,-30.123004
Hurstville,11964,7673,0.6,151.104909,1.6,None,-33.977595
Fernleigh,11508,78,0.9,153.497652,2.1,None,-28.760333
Coalcliff,10944,59,0.7,150.976081,1.8,None,-34.243453
Fawcetts Plain,11498,44,0.8,153.016604,2.1,None,-28.575884
Tenterfield,13792,1050,0.5,151.660453,1.9,None,-32.879833
Ramsgate Beach,13310,409,0.5,151.1483,1.6,None,-33.981114
Nimmitabel,12966,84,0.5,149.280424,2,None,-36.518225
Termeil,13797,73,0.6,150.339308,1.8,None,-35.487171
Bronte,10594,1706,0.7,151.263838,1.8,None,-33.902328
Koraleigh,12195,93,0.9,143.4361,2.4,None,-35.1277
Abbotsbury,10002,1177,1.3,150.867768,2,None,-33.877538
Hawks Nest,11873,322,0.4,152.177506,1.6,None,-32.671611
Cawongla,10864,46,0.3,153.103105,1.4,None,-28.591753
Minto Heights,12643,104,0.8,150.871353,1.8,None,-34.037543
Bukkulla,10648,32,1,151.129034,2.1,None,-29.503137
Abbotsford (NSW),10003,1532,0.6,151.129453,1.6,None,-33.852469
Somerton (NSW),13572,65,0.5,150.637122,1.8,None,-30.938654
Dolphin Point,11269,51,0.5,150.44539,1.5,None,-35.400376
Southgate,13604,50,0.6,153.024309,1.8,None,-29.608116
North Epping,12990,1251,1.1,151.087742,1.9,None,-33.759777
Shoal Bay (NSW),13539,397,0.5,152.174979,1.8,None,-32.724136
Kinchela,12140,76,0.5,152.989527,1.5,None,-30.990568
Grose Wold,11786,169,1.1,150.688628,1.9,None,-33.602392
Concord West,11000,1581,1,151.087326,1.8,None,-33.848041
Miller,12617,715,1,151.702595,2.1,None,-32.763539
Cobar,10949,955,0.7,145.4147,1.9,None,-31.9338
Merewether Heights,12574,390,0.9,151.736231,1.9,None,-32.948242
Hornsby Heights,11937,1791,1.1,151.095503,1.9,None,-33.670086
Warabrook,14140,498,0.6,151.719957,1.7,None,-32.887886
Willow Tree,14305,75,0.5,150.726216,1.9,None,-31.648589
Salamander Bay,13463,1314,0.6,152.076399,1.8,None,-32.720937
Lochiel (NSW),12367,99,0.7,149.747092,1.7,None,-36.921998
Baw Baw (NSW),10234,72,0.6,149.6454,1.5,None,-34.7101
Gladesville,11638,3092,0.7,151.126964,1.8,None,-33.832894
Mullumbimby Creek,12829,136,0.6,153.46472,1.5,None,-28.558202
Uralla (NSW),14051,726,0.6,151.502566,1.9,None,-30.642829
Urbenville,14057,78,0.4,152.548088,1.9,None,-28.472759
Clarence,10919,56,0.7,153.0463,1.8,None,-30.0367
Lakemba,12257,3904,1.1,151.075921,2,None,-33.920457
