city,code,People,lon,Median age,Female,lat,Male
South Arm (Nambucca - NSW),13575,313,152.7482,47,0.484,-30.6965,0.516
South Arm (Clarence Valley - NSW),13574,237,152.2872,49,0.494,-25.047,0.506
Nundle,13043,496,151.127044,52,0.477,-31.462548,0.523
North Wahroonga,13015,1998,151.123179,44,0.515,-33.702704,0.485
Murringo,12858,365,148.509953,45,0.478,-34.272867,0.522
Ewingsdale,11474,825,153.557753,44,0.503,-28.637032,0.497
Martinsville,12512,361,151.406243,53,0.492,-33.055785,0.508
Beechwood,10248,615,152.678408,46,0.521,-31.436805,0.479
Darlington (Sydney - NSW),11214,3097,151.1933,25,0.522,-33.8909,0.478
Glendenning,11659,5131,150.855174,31,0.504,-33.739075,0.496
Candelo,10788,686,149.695188,47,0.51,-36.767311,0.49
Cardiff Heights,10810,1443,151.672253,46,0.525,-32.936219,0.475
Kyeemagh,12226,919,151.159943,43,0.513,-33.951452,0.487
Glenridding,11676,255,151.157167,46,0.471,-32.581778,0.529
Sydney Olympic Park,13716,1736,151.0665,31,0.481,-33.8394,0.519
Cudal,11140,553,148.738898,44,0.469,-33.286704,0.531
Gerroa,11607,673,150.815611,51,0.502,-34.770171,0.498
Millfield,12620,1006,151.264273,39,0.512,-32.888506,0.488
Larnook,12279,376,153.11767,42,0.485,-28.645794,0.515
Pallamallawa,13131,448,150.136975,44,0.481,-29.475108,0.519
Wildes Meadow,14292,259,150.530044,55,0.494,-34.618189,0.506
Toothdale,13914,172,149.764434,44,0.475,-36.7906,0.525
Binjura,10370,321,149.10666,44,0.522,-36.180676,0.478
Ramornie,13308,206,152.782792,51,0.471,-29.640683,0.529
Murrays Run,12855,150,151.1751,55,0.474,-33.0742,0.526
Pampoolah,13142,393,152.512723,51,0.477,-31.931374,0.523
Campsie,10782,24541,151.103465,34,0.498,-33.914373,0.502
Crackenback,11103,197,148.511421,41,0.444,-36.441153,0.556
Ingleburn,11978,15039,150.866344,35,0.502,-33.998718,0.498
Castlecrag,10849,2939,151.212643,43,0.504,-33.802403,0.496
Blaxlands Ridge,10409,501,150.712367,38,0.485,-33.502253,0.515
Mount Victoria,12797,1016,150.251161,45,0.5,-33.588561,0.5
Howlong,11950,2777,146.60586,47,0.501,-35.958568,0.499
Stuart Town,13680,235,149.077263,50,0.481,-32.805688,0.519
Oatley,13064,10486,151.082765,42,0.515,-33.981428,0.485
Goolgowi,11705,402,145.708082,39,0.454,-33.983547,0.546
Yarrawonga (NSW),14486,421,149.65883,43,0.447,-32.356621,0.553
Double Bay,11281,4642,151.243095,39,0.562,-33.87906,0.438
Batehaven,10228,1776,150.199539,54,0.537,-35.73211,0.463
Upper Crystal Creek,14021,189,153.303819,51,0.451,-28.282291,0.549
Empire Bay,11415,2400,151.362188,41,0.505,-33.494186,0.495
Gregory Hills,11774,4985,150.7761,29,0.495,-34.0272,0.505
Aberdare,10006,2473,151.376514,35,0.512,-32.8442,0.488
Safety Beach (NSW),13462,930,153.192452,48,0.5,-30.096684,0.5
White Cliffs,14274,148,143.083844,45,0.439,-30.850444,0.561
Rollands Plains,13392,155,152.624248,49,0.497,-31.23771,0.503
Tomingley,13896,306,148.217991,45,0.439,-32.556854,0.561
Middle Pocket,12606,138,153.48262,44,0.552,-28.493352,0.448
Pitt Town Bottoms,13227,102,150.841424,36,0.356,-33.596291,0.644
Pagewood,13125,3805,151.228411,42,0.506,-33.940108,0.494
Blayney,10410,3378,143.8209,39,0.503,-38.6849,0.497
Bligh Park,10411,6366,150.79458,31,0.517,-33.63765,0.483
South West Rocks,13600,4603,153.040452,56,0.512,-30.884423,0.488
Tumbi Umbi,13962,5108,151.447302,44,0.51,-33.362679,0.49
Tamarama,13741,1622,151.271839,36,0.514,-33.897439,0.486
Gymea Bay,11827,6892,151.086087,41,0.512,-34.048156,0.488
Kanwal,12067,4099,151.479653,44,0.529,-33.263412,0.471
Orangeville,13094,1250,150.573125,39,0.485,-34.04279,0.515
Baradine,10190,760,149.065815,49,0.493,-30.943207,0.507
Woodberry,14377,2993,151.665395,38,0.52,-32.793692,0.48
Bar Beach,10187,1256,151.768383,39,0.46,-32.939962,0.54
Tomago,13889,277,151.757485,55,0.351,-32.818383,0.649
Eurunderee,11467,164,149.608821,49,0.497,-32.52605,0.503
Darlington (Singleton - NSW),11213,373,151.1601,33,0.508,-32.5594,0.492
Minnamurra,12639,760,150.855113,48,0.501,-34.627871,0.499
Raleigh,13307,645,152.994874,50,0.474,-30.480738,0.526
Tacoma South,13725,248,151.457044,42,0.455,-33.289592,0.545
Falls Creek (NSW),11487,935,150.596929,47,0.467,-34.968232,0.533
Mount Druitt,12756,16726,150.811583,31,0.501,-33.772053,0.499
Menangle Park,12569,257,150.757016,38,0.466,-34.100121,0.534
Georges Plains,11602,248,149.523182,45,0.48,-33.515629,0.52
Rose Bay (NSW),13398,10053,151.280456,38,0.535,-33.866555,0.465
Agnes Banks,10021,911,150.707372,36,0.482,-33.618877,0.518
Lismore (NSW),12344,3579,153.269477,40,0.512,-28.809302,0.488
Kiama Heights,12118,814,150.843492,49,0.491,-34.697929,0.509
Cumbalum,11154,1522,153.525966,37,0.507,-28.825835,0.493
Wyndham (NSW),14443,386,149.6338,51,0.49,-36.9222,0.51
Huntleys Point,11961,144,151.145968,52,0.5,-33.840088,0.5
Willmot,14302,2430,150.791569,30,0.521,-33.727621,0.479
Little Hartley,12352,506,150.208607,50,0.504,-33.571701,0.496
Grong Grong,11784,250,146.781265,46,0.504,-34.73818,0.496
Broke (NSW),10590,579,151.103474,40,0.485,-32.751222,0.515
Albury,10027,4804,146.890443,43,0.514,-36.073344,0.486
Butterwick,10725,144,151.639005,46,0.486,-32.658257,0.514
Tyalgum,13994,545,153.160681,43,0.542,-28.346657,0.458
Grasmere,11739,1963,150.67317,56,0.551,-34.056293,0.449
Bribbaree,10566,141,147.873721,47,0.46,-34.121252,0.54
North Curl Curl,12988,4117,151.295691,38,0.498,-33.761652,0.502
Kootingal,12194,2126,151.054338,39,0.52,-31.057413,0.48
Thornleigh,13850,8464,151.081226,39,0.508,-33.730816,0.492
