city,lat,code,lon,people
Lynchs Creek,-28.450335,12424,152.997434,94
Kogarah,-33.979117,12181,151.123296,15124
Wildes Meadow,-34.618189,14292,150.530044,259
Toothdale,-36.7906,13914,149.764434,172
Bungalora,-28.249472,10680,153.479427,69
Gateshead,-32.989025,11594,151.693851,3145
Kerrs Creek,-33.048539,12108,149.092046,45
Ramornie,-29.640683,13308,152.782792,206
Murrays Run,-33.0742,12855,151.1751,150
Pampoolah,-31.931374,13142,152.512723,393
Campsie,-33.914373,10782,151.103465,24541
Crackenback,-36.441153,11103,148.511421,197
Ingleburn,-33.998718,11978,150.866344,15039
Castlecrag,-33.802403,10849,151.212643,2939
Mulla,-32.657707,12818,149.67374,10
Upper Colo,-33.418342,14017,150.735929,60
Mount Victoria,-33.588561,12797,150.251161,1016
Howlong,-35.958568,11950,146.60586,2777
Stuart Town,-32.805688,13680,149.077263,235
Garah,-34.763894,11586,150.626431,306
Glen Innes,-29.735655,11649,151.738526,6155
Maules Creek,-30.483004,12526,150.080679,113
Lake Albert (NSW),-35.166085,12238,147.381816,6192
Yarrawonga (NSW),-32.356621,14486,149.65883,421
Freemantle,-33.243663,11566,149.378571,23
Yabbra,-28.610761,14450,152.494662,4
Double Bay,-33.87906,11281,151.243095,4642
Byng,-33.343288,10731,149.254464,50
Batehaven,-35.73211,10228,150.199539,1776
Morans Crossing,-36.663757,12721,149.647067,71
Colinton (NSW),-35.861015,10968,149.158071,127
Empire Bay,-33.494186,11415,151.362188,2400
Curricabark,-31.740053,11180,151.646726,11
Marshdale,-32.444218,12508,151.789236,44
Taradale (NSW),-35.622554,13757,147.939906,35
Coxs Creek,-32.735933,11100,150.1385,57
Yarrawonga Park,-33.100922,14487,151.544375,380
Wingham,-31.869046,14332,152.374242,5374
Safety Beach (NSW),-30.096684,13462,153.192452,930
Dyers Crossing,-32.091732,11338,152.300833,337
Pangee,-32.053698,13145,146.754447,10
Yarragundry,-35.106865,14473,147.214352,75
Wonboyn,-37.23331,14369,149.911196,103
Bogan Gate,-33.106229,10438,147.802354,289
Narrawa,-34.435768,12908,149.160245,86
Lake Brewster,-33.517295,12240,146.012729,11
Glanmire (NSW),-33.425985,11640,149.706091,158
Borah Creek,-30.609264,10508,150.50534,31
Wyongah,-33.274859,14448,151.49038,2020
Little Topar,-31.710493,12358,142.576981,29
Rollands Plains,-31.23771,13392,152.624248,155
Tomingley,-32.556854,13896,148.217991,306
Middle Pocket,-28.493352,12606,153.48262,138
Wyan,-33.936693,14432,149.046361,44
Mundarlo,-35.07795,12838,147.84419,82
Punchbowl (Canterbury-Bankstown - NSW),-33.9291,13273,151.0516,20236
Bligh Park,-33.63765,10411,150.79458,6366
Gangat,-32.021249,11584,152.070217,25
Girvan,-32.467867,11637,152.068465,162
Pine Grove (NSW),-30.90021,13214,148.684965,7
South West Rocks,-30.884423,13600,153.040452,4603
Tumbi Umbi,-33.362679,13962,151.447302,5108
Stroud Road,-32.344759,13679,151.929068,230
Tamarama,-33.897439,13741,151.271839,1622
Gymea Bay,-34.048156,11827,151.086087,6892
Kanwal,-33.263412,12067,151.479653,4099
Orangeville,-34.04279,13094,150.573125,1250
Toogong,-33.351419,13901,148.624917,79
Woodberry,-32.793692,14377,151.665395,2993
South Coogee,-33.931293,13579,151.256089,5502
Bar Beach,-32.939962,10187,151.768383,1256
Tomago,-32.818383,13889,151.757485,277
Euston,-34.574977,11468,142.745126,839
Darlington (Singleton - NSW),-32.5594,11213,151.1601,373
