city,lat,ancestry_num,top_ancestry,lon,code
Berkeley Vale,-33.341788,3863,Australian,151.43163,10304
Sun Valley (NSW),-33.712081,104,English,150.592445,13691
Fullerton Cove,-32.841049,275,English,151.837968,11575
Lower Southgate,-29.556531,66,Australian,153.076817,12413
Long Point (Campbelltown - NSW),-34.0115,74,Australian,150.8964,12381
Hanwood,-34.329292,471,Italian,146.041304,11850
Bilgola Plateau,-33.6451,1742,English,151.3159,10351
Warialda,-29.583725,786,Australian,150.536881,14149
Greenridge,-28.896232,65,Australian,153.120103,11768
Sydney,-33.871209,4851,Chinese,151.191884,13715
Mallabula,-32.72898,419,Australian,152.011748,12455
Burrundulla,-32.623433,68,Australian,149.639181,10717
Bellawongarah,-34.763894,63,English,150.626431,10267
Pimlico (NSW),-28.889412,135,Australian,153.494219,13207
Ermington,-33.814144,2386,Australian,151.054495,11435
Tennyson Point,-33.831448,294,Australian,151.117286,13790
One Mile (NSW),-32.770639,198,English,152.114949,13085
South Grafton,-29.703242,3005,Australian,152.934605,13582
Kemps Creek,-33.88013,543,Italian,150.790485,12094
Ben Lomond (NSW),-30.017361,64,Australian,151.658,10286
Ettalong Beach,-33.513696,2139,English,151.335289,11445
Muscle Creek,-32.270449,168,Australian,150.997754,12867
Llangothlin,-30.123004,78,Australian,151.686706,12364
Hurstville,-33.977595,16403,Chinese,151.104909,11964
Fernleigh,-28.760333,120,English,153.497652,11508
Coalcliff,-34.243453,79,English,150.976081,10944
Fawcetts Plain,-28.575884,59,English,153.016604,11498
Tenterfield,-32.879833,1735,Australian,151.660453,13792
Ramsgate Beach,-33.981114,348,English,151.1483,13310
Nimmitabel,-36.518225,167,English,149.280424,12966
Termeil,-35.487171,119,English,150.339308,13797
Bronte,-33.902328,2463,English,151.263838,10594
Koraleigh,-35.1277,160,Australian,143.4361,12195
Abbotsbury,-33.877538,985,Italian,150.867768,10002
Hawks Nest,-32.671611,590,English,152.177506,11873
Cawongla,-28.591753,69,English,153.103105,10864
Minto Heights,-34.037543,128,Australian,150.871353,12643
Bukkulla,-29.503137,68,Australian,151.129034,10648
Abbotsford (NSW),-33.852469,1361,English,151.129453,10003
Somerton (NSW),-30.938654,112,Australian,150.637122,13572
Dolphin Point,-35.400376,93,English,150.44539,11269
Southgate,-29.608116,92,Australian,153.024309,13604
North Epping,-33.759777,1440,English,151.087742,12990
Shoal Bay (NSW),-32.724136,682,English,152.174979,13539
Kinchela,-30.990568,132,English,152.989527,12140
Grose Wold,-33.602392,268,English,150.688628,11786
Concord West,-33.848041,1293,Australian,151.087326,11000
Miller,-32.763539,730,Australian,151.702595,12617
Cobar,-31.9338,2065,Australian,145.4147,10949
Merewether Heights,-32.948242,625,English,151.736231,12574
Hornsby Heights,-33.670086,2512,English,151.095503,11937
Warabrook,-32.887886,627,Australian,151.719957,14140
Willow Tree,-31.648589,127,Australian,150.726216,14305
Salamander Bay,-32.720937,2278,English,152.076399,13463
Lochiel (NSW),-36.921998,163,Australian,149.747092,12367
Baw Baw (NSW),-34.7101,106,Australian,149.6454,10234
Gladesville,-33.832894,3309,English,151.126964,11638
Mullumbimby Creek,-28.558202,239,English,153.46472,12829
Uralla (NSW),-30.642829,1406,Australian,151.502566,14051
Urbenville,-28.472759,110,English,152.548088,14057
Clarence,-30.0367,95,Australian,153.0463,10919
Lakemba,-33.920457,2518,Bangladeshi,151.075921,12257
Cobaki,-28.175328,90,English,153.471389,10947
Yass River,-34.9072,148,Australian,149.096916,14494
Deepwater (NSW),-29.44232,182,Australian,151.847464,11231
Umina Beach,-33.528746,7168,Australian,151.307503,14007
Thirroul,-34.314739,2653,English,150.923793,13848
Cooperabung,-31.284405,126,Australian,152.808768,11046
Russell Vale,-34.358093,679,English,150.900783,13448
Brayton,-34.647901,74,English,149.964356,10554
Lake Albert (NSW),-35.166085,2756,Australian,147.381816,12238
Valla Beach,-30.591805,599,English,153.008479,14068
Haymarket,-33.880777,2556,Chinese,151.202796,11877
Bargo,-34.289443,2024,Australian,150.580103,10198
Cootamundra,-34.639089,3241,Australian,148.024671,11053
Turramurra,-33.733244,4370,English,151.129809,13980
Collins Creek,-28.495304,58,English,153.020382,10978
Benandarah,-35.660936,60,English,150.228251,10287
Blackmans Point,-31.400666,78,English,152.851836,10395
Cumberland Reach,-33.455858,97,Australian,150.896276,11156
Belfield,-33.902107,1110,Lebanese,151.083553,10257
Coolagolite,-36.429324,122,Australian,149.926402,11023
Woodstock (Cowra - NSW),-29.2137,317,Australian,151.0512,14394
Shalvey,-33.729373,1239,Australian,150.808375,13523
Millingandi,-36.872365,213,English,149.867994,12622
Lochinvar,-32.699039,359,Australian,151.45479,12368
Gosford,-33.451762,1189,English,151.360909,11722
Beckom,-34.32731,51,Australian,146.959974,10244
Grays Point,-34.05884,1389,English,151.081652,11743
Sandringham (NSW),-33.998763,336,English,151.139252,13478
Keith Hall,-28.889839,74,Australian,153.531951,12086
Cooyal,-32.450436,53,Australian,149.757343,11055
Parkesbourne,-34.761895,89,Australian,149.521444,13152
Moruya Heads,-35.913602,443,English,150.132617,12735
Binya,-34.228297,71,Australian,146.337827,10373
Narooma,-36.202678,1126,English,150.119086,12900
Abernethy,-32.883242,188,Australian,151.396677,10011
Koonorigan,-28.67516,127,Australian,153.237965,12188
Cringila,-34.471575,418,Macedonian,150.871375,11116
Terranora,-28.240724,1363,English,153.502795,13802
Mount Rankin,-33.316695,171,Australian,149.496674,12786
Eveleigh,-33.897075,151,Australian,151.19113,11471
Howes Valley,-32.844284,36,English,150.835756,11948
Lisarow,-33.380843,2356,English,151.371283,12343
Shelly Beach (NSW),-33.368675,625,Australian,151.485687,13535
Northmead,-33.783849,2958,English,150.994336,13023
Erina,-29.5364,2136,English,146.7306,11433
Red Head,-32.058603,240,Australian,152.531451,13329
La Perouse,-33.989634,146,Australian,151.231507,12230
Burra (Queanbeyan-Palerang Regional - NSW),-35.5659,358,Australian,149.2299,10697
The Hill,-32.929808,855,English,151.777382,13826
Rockdale,-33.952747,2499,Chinese,151.137624,13379
Yanderra,-34.324175,324,Australian,150.569254,14461
Erskineville,-33.902234,2822,English,151.186192,11439
Tallimba,-33.994402,83,English,146.879692,13732
Bishops Bridge,-32.746391,113,Australian,151.467064,10380
Palmers Channel,-29.459505,60,Australian,153.279261,13135
Narraweena,-33.749912,2263,English,151.274687,12910
Oxley Park,-33.771261,831,Australian,150.79264,13110
Linden (NSW),-33.715529,243,English,150.504477,12335
Parma,-34.963298,87,Australian,150.552694,13155
Mount Kembla,-34.432799,462,English,150.820503,12769
Coniston,-34.436545,605,Australian,150.885559,11010
Huntleys Cove,-33.839798,255,English,151.144587,11960
Beaumont Hills,-33.703416,2253,English,150.946875,10243
Colyton,-33.776657,2739,Australian,150.793433,10987
East Tamworth,-31.10529,2307,Australian,150.949994,11363
Barooga,-35.913566,732,Australian,145.688503,10205
Conjola Park,-35.371593,145,English,150.452135,11012
Tatham,-28.928919,97,Australian,153.158653,13773
Avalon Beach,-33.636325,4948,English,151.330596,10111
Tuncurry,-32.174624,2783,English,152.499268,13969
Euberta,-35.059159,67,Australian,147.190921,11451
South Hurstville,-33.977595,1693,Chinese,151.104909,13587
Araluen (NSW),-35.64693,75,English,149.812149,10070
Cliftleigh,-32.784916,435,Australian,151.523259,10932
Kundabung,-31.208615,270,Australian,152.823012,12209
Silverwater (Lake Macquarie - NSW),-33.103,150,English,151.5586,13546
Guildford (NSW),-33.867084,6220,Lebanese,150.988073,11790
Rappville,-29.084845,80,Australian,152.953134,13318
Palmers Island,-29.420289,209,Australian,153.288677,13136
Moruya,-35.913602,1698,Australian,150.132617,12734
Lavender Bay,-33.84307,339,English,151.208015,12285
Fingal Head,-28.204156,261,Australian,153.565709,11519
Fishermans Paradise,-35.229709,190,Australian,150.448704,11523
Scotland Island,-33.641752,292,English,151.290116,13505
Biniguy,-29.580064,74,Australian,150.136946,10369
Rossmore (NSW),-33.945965,487,Australian,150.772763,13420
Numbaa,-34.873429,59,Australian,150.678484,13035
Bowman,-31.922744,63,Australian,151.780768,10531
Minimbah,-32.148267,115,Australian,152.361412,12636
Revesby Heights,-33.968802,500,Australian,151.015063,13356
Forest Hill (NSW),-32.707981,1064,Australian,151.55001,11544
Blackville,-31.65821,61,Australian,150.30281,10398
East Maitland,-32.75112,5174,English,151.589963,11360
Berrambool,-36.8788,203,English,149.917402,10312
Googong,-35.391776,1032,Australian,149.230757,11704
Glenthorne,-31.914405,96,English,152.480283,11680
Rock Valley,-28.747359,116,Australian,153.174403,13378
Woodlands (Wingecarribee - NSW),-34.4082,118,English,150.3995,14388
Eltham (NSW),-28.754287,171,English,153.409529,11409
