city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Albury,10027,1372,146.890443,2608,2.1,-36.073344,1625,240,1.5
Butterwick,10725,2349,151.639005,53,2.9,-32.658257,2669,0,3.2
Tyalgum,13994,900,153.160681,225,2.7,-28.346657,1300,305,1.8
Grasmere,11739,1401,150.67317,682,2.6,-34.056293,2405,105,2.2
Bribbaree,10566,714,147.873721,89,2,-34.121252,938,0,2.4
North Curl Curl,12988,2768,151.295691,1346,3.3,-33.761652,3006,750,2
Kootingal,12194,1237,151.054338,901,2.5,-31.057413,1387,300,2
Thornleigh,13850,2262,151.081226,2905,3,-33.730816,2500,510,1.8
Glen Alpine,11645,2440,150.775275,1379,3.4,-34.084184,2167,510,2.5
Artarmon,10090,2183,151.189662,4062,2.5,-33.807664,2483,541,1.2
Stokers Siding,13664,1196,153.403631,286,2.7,-28.393503,1517,300,2
Borenore,10513,1983,148.974505,177,2.7,-33.247292,2169,180,2.5
Boggabilla,10441,919,150.415347,366,3,-28.744821,800,120,1.4
Warriewood,14173,2160,151.29908,2652,2.9,-33.686265,2711,680,1.9
Inverell,11981,971,151.229884,5180,2.4,-29.748424,1287,230,1.7
Kalaru,12051,1257,149.939572,290,2.5,-36.736047,1517,305,1.9
Kingfisher Shores,12146,1275,151.5572,76,2.4,-33.1714,1820,315,1.5
Invergowrie,11983,1536,151.498196,305,2.6,-30.497561,1647,300,2.2
North Strathfield,13009,1969,151.091954,1825,2.7,-33.85746,2167,520,1.4
Wagga Wagga,14083,1195,151.904484,3833,2,-30.569822,1517,265,1.4
Whale Beach,14267,2600,151.330438,232,2.1,-33.614274,4767,550,2
South Gundurimba,13585,1288,153.258782,126,2.6,-28.887662,1361,250,2.1
Carroll,10832,1196,149.438586,149,2.6,-30.087425,1150,160,2.2
The Slopes,13842,2113,150.708405,108,3.2,-33.532102,2167,430,2.5
Boambee,10421,1557,153.084224,625,2.8,-30.34062,1800,255,2.2
Werris Creek,14238,786,150.619915,782,2.1,-31.345921,919,190,1.6
