city,code,people
Enmore (Armidale Regional - NSW),11424,55
Kooba,12183,76
Charles Sturt University,10884,340
Cobar Park,10950,43
Spicers Creek,13608,75
Joes Box,12036,15
Mowbray Park,12810,97
Whitlow,14278,46
Mount Wilson,12804,99
Dog Rocks,11265,5
Woodlawn,14389,38
Sawpit Creek,13497,9
Longarm,12383,17
Arthurville,10091,36
Noona,12970,14
Vittoria (NSW),14078,62
Upper Nile,14040,9
Braefield,10544,62
Woodsreef,14393,69
Bombowlee Creek,10460,51
Pipeclay,13224,64
Carabost,10805,55
Bodangora,10435,79
Bengalla,10294,26
Lake Burrendong,12241,6
Duckmaloi,11299,49
Belowra,10282,9
Rawdon Island,13323,98
Dangelong,11201,6
Badja,10133,6
Gibberagee,11613,26
Tootool,13915,70
Ewingar,11473,67
Anambah,10053,30
Tambaroora,13744,41
Morangarell,12720,42
Wattamolla,14189,61
West Bungawalbin,14242,64
Bruinbun,10615,47
Dignams Creek,11255,85
Barringella,10215,31
Fishers Hill,11525,36
Smiths Creek (Clarence Valley - NSW),13560,10
Glennies Creek,11671,37
Mayfield (Oberon - NSW),12531,7
Gouldsville,11726,13
Merotherie,12580,24
Brindabella,10573,22
Stockyard Creek (NSW),13663,41
Gadara,11577,47
Millah Murrah,12615,26
Burra Creek,10699,84
Gilletts Ridge,11623,29
Balfours Peak,10152,38
Marinna,12491,47
Bobundara,10430,13
Belltrees,10275,27
Monia Gap,12680,16
Oakhampton Heights,13057,129
Seven Oaks,13519,68
Narraburra,12904,62
Coongbar,11045,3
Koreelah,12196,73
Mundamia,12837,70
Innes View,11980,29
Kingswood (Bega Valley - NSW),12162,7
Avonside,10117,118
Roto,13421,41
Upper Rouchel,14044,73
Hopkins Creek,11934,113
Gurranang,11819,92
Myrtleville,12882,72
Sandy Creek (Upper Hunter Shire - NSW),13481,25
Cobark,10952,41
Munderoo,12839,42
Bocobra,10433,54
Wongo Creek,14375,26
Burraga,10702,91
Skillion Flat,13555,76
The Meadows,13830,3
Osborne (NSW),13098,29
Burrier,10711,44
Camberwell (NSW),10762,83
Commissioners Creek,10995,65
Euabalong West,11450,66
